31-PHRS-COLLECTION-PART03,Better planning can __ __ the cost of the project.,bring down,phrase,/brɪŋ daʊn/,/brɪŋ daʊn/,B2,To reduce something or make a powerful person lose their position.,Làm giảm điều gì hoặc hạ bệ người có quyền lực.,,The new policy helped bring down food prices.,Chính sách mới đã giúp làm giảm giá thực phẩm.,"reduce (làm giảm), lower (hạ xuống), overthrow (lật đổ)","raise (nâng lên), support (ủng hộ)"
32-PHRS-COLLECTION-PART03,We need to __ __ the appointment to this Friday.,bring forward,phrase,/brɪŋ ˈfɔː.wəd/,/brɪŋ ˈfɔːr.wɚd/,B2,To move an event or plan to an earlier time.,Đưa một sự kiện hoặc kế hoạch lên thời điểm sớm hơn.,,They brought forward the meeting to Monday morning.,Họ đã đưa cuộc họp lên sáng thứ Hai.,"move earlier (đưa lên sớm), reschedule earlier (xếp lịch sớm hơn), advance (đẩy lên trước)","put back (lùi lại), delay (trì hoãn)"
33-PHRS-COLLECTION-PART03,The manager wants to __ __ a new training system.,bring in,phrase,/brɪŋ ɪn/,/brɪŋ ɪn/,B1,"To introduce something, carry something inside, or earn money.","Đưa vào, mang vào hoặc thu về tiền.",,The cafe brought in a new menu for summer.,Quán cà phê đã đưa vào thực đơn mới cho mùa hè.,"introduce (đưa vào), carry in (mang vào), earn (thu về)","take out (đưa ra), remove (loại bỏ)"
34-PHRS-COLLECTION-PART03,Good lighting can __ __ the details in a photo.,bring out,phrase,/brɪŋ aʊt/,/brɪŋ aʊt/,B2,To publish something or make a quality easier to notice.,Phát hành hoặc làm nổi bật một phẩm chất.,,The blue shirt brings out the colour of his eyes.,Chiếc áo xanh làm nổi bật màu mắt của anh ấy.,"publish (phát hành), highlight (làm nổi bật), reveal (bộc lộ)","hide (che giấu), suppress (kìm nén)"
35-PHRS-COLLECTION-PART03,We finally managed to __ __ the client after the presentation.,bring round,phrase,/brɪŋ raʊnd/,/brɪŋ raʊnd/,B2,To persuade someone to change their opinion or help someone become conscious again.,Thuyết phục ai đổi ý hoặc làm ai tỉnh lại.,,A friendly talk brought him round to our idea.,Một cuộc trò chuyện thân thiện đã thuyết phục anh ấy đồng ý với ý tưởng của chúng tôi.,"persuade (thuyết phục), convince (làm tin), revive (làm tỉnh lại)","discourage (làm nản lòng), alienate (làm xa cách)"
36-PHRS-COLLECTION-PART03,Sport can __ __ people from different backgrounds.,bring together,phrase,/brɪŋ təˈɡeð.ər/,/brɪŋ təˈɡeð.ɚ/,B2,To connect people or things in one place or group.,Kết nối hoặc quy tụ người hay vật lại với nhau.,,The festival brings together artists from many countries.,Lễ hội quy tụ nghệ sĩ từ nhiều quốc gia.,"unite (đoàn kết), gather (quy tụ), connect (kết nối)","separate (tách ra), divide (chia rẽ)"
37-PHRS-COLLECTION-PART03,She did not want to __ __ the problem at lunch.,bring up,phrase,/brɪŋ ʌp/,/brɪŋ ʌp/,B1,To raise a child or mention a subject in conversation.,Nuôi dưỡng trẻ em hoặc nhắc đến một chủ đề.,,Please do not bring up work during dinner.,Làm ơn đừng nhắc đến công việc trong bữa tối.,"raise (nuôi dưỡng), mention (nhắc đến), introduce (đề cập)","drop (bỏ qua), ignore (phớt lờ)"
38-PHRS-COLLECTION-PART03,Do not __ __ honest feedback from your friends.,brush off,phrase,/brʌʃ ɒf/,/brʌʃ ɑːf/,B2,To ignore or dismiss someone or something as unimportant.,Phớt lờ hoặc gạt bỏ ai hay điều gì là không quan trọng.,,He brushed off my warning and kept driving fast.,Anh ấy phớt lờ lời cảnh báo của tôi và tiếp tục lái nhanh.,"ignore (phớt lờ), dismiss (gạt bỏ), disregard (xem nhẹ)","consider (cân nhắc), take seriously (xem trọng)"
39-PHRS-COLLECTION-PART03,You should __ __ __ grammar before the test.,brush up on,phrase,/brʌʃ ʌp ɒn/,/brʌʃ ʌp ɑːn/,B2,To quickly improve knowledge or skill that you have partly forgotten.,"Ôn lại hoặc cải thiện kiến thức, kỹ năng đã hơi quên.",,I need to brush up on my French before the trip.,Tôi cần ôn lại tiếng Pháp trước chuyến đi.,"revise (ôn lại), review (xem lại), refresh (làm mới)","forget (quên), neglect (bỏ bê)"
40-PHRS-COLLECTION-PART03,This course will __ __ your basic writing skills.,build on,phrase,/bɪld ɒn/,/bɪld ɑːn/,B2,To develop something further using it as a base.,Phát triển thêm dựa trên nền tảng có sẵn.,,The next lesson builds on what we learned today.,Bài học tiếp theo phát triển dựa trên những gì chúng ta học hôm nay.,"develop from (phát triển từ), expand on (mở rộng dựa trên), use as a base (dùng làm nền tảng)","abandon (bỏ đi), start over (bắt đầu lại)"
